recording_id,dataset_id,started_at_utc,camera_id,arena_id,subject_id,species,line_strain,genotype,dpf,canonical_strain,pigmentation_phenotype,melanophore_status,xanthophore_status,iridophore_status,pigment_pattern_status,optical_transparency,pigmentation_value_origin,role,labeling_state
2026-07-21T19-38-32Z_arena_1_Batman,2026-07-21T19-38-32Z_arena_1:zce36f97ea0ca,2026-07-21T19-38-32Z,2010093,arena_1,40d99fea-846b-4890-bad2-b4e152dfdde0,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-21T19-38-32Z_arena_2_Batman,2026-07-21T19-38-32Z_arena_2:z7cea819ae2e8,2026-07-21T19-38-32Z,2010094,arena_2,d3a6816b-0a2b-4087-b551-907535ffdc36,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,reviewed_181_rows
2026-07-21T19-38-32Z_arena_3_Batman,2026-07-21T19-38-32Z_arena_3:z4119acc92d5e,2026-07-21T19-38-32Z,2010095,arena_3,791d55cd-bfca-4308-8b55-7e558028cbca,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-21T19-38-32Z_arena_4_Batman,2026-07-21T19-38-32Z_arena_4:z3686bd9b1538,2026-07-21T19-38-32Z,2010096,arena_4,fe9e8d89-4bad-4b0e-b283-584652d45c0a,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-21T20-12-57Z_arena_1_Batman,2026-07-21T20-12-57Z_arena_1:z96b165d363bb,2026-07-21T20-12-57Z,2010093,arena_1,f1306ba6-8b76-408e-978b-4b387a54cf57,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-21T20-12-57Z_arena_2_Batman,2026-07-21T20-12-57Z_arena_2:z2763ead00090,2026-07-21T20-12-57Z,2010094,arena_2,ae04b3bf-2901-4791-a693-a415e156cf27,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-21T20-12-57Z_arena_3_Batman,2026-07-21T20-12-57Z_arena_3:z4272b071d357,2026-07-21T20-12-57Z,2010095,arena_3,96db2d8e-cb5a-4c14-a6a9-3ac4c7983f0c,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-21T20-12-57Z_arena_4_Batman,2026-07-21T20-12-57Z_arena_4:z3dd0dd6b08d8,2026-07-21T20-12-57Z,2010096,arena_4,bda0972f-22cf-444d-b0f7-d5b0d199c293,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-21T20-56-02Z_arena_1_Batman,2026-07-21T20-56-02Z_arena_1:zc404cdce66e9,2026-07-21T20-56-02Z,2010093,arena_1,35f3a7eb-46d5-46ac-a149-2e48164f86b8,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-21T20-56-02Z_arena_2_Batman,2026-07-21T20-56-02Z_arena_2:zb27a8b75772f,2026-07-21T20-56-02Z,2010094,arena_2,1081dee4-1689-4fca-ab34-4d3b88ce3841,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
